Average Reward,Min Reward,Max Reward,Advantage Mean,Advantage Std,Average Entropy Loss,Last Entropy Loss,Average Policy Loss,Last Policy Loss,Average Value Loss,Last Value Loss
0.13186,-3.49517,0.9921,0.0,1.0,1.0665,1.06356,-0.00787,-0.00014,2797.1965,2544.72583
0.68504,-0.42499,0.99116,0.0,1.0,1.065,1.06614,-0.01035,-0.06926,1277.6241,1146.16614
0.31356,-2.56799,0.99158,0.0,1.0,1.0634,1.06053,-0.00762,-0.11516,1489.2095,1438.28467
0.48366,-2.7825,0.99218,0.0,1.0,1.059,1.0574,-0.00501,-0.18126,788.2077,755.55676
-0.31342,-3.12034,0.98468,0.0,1.0,1.054,1.05052,-0.00982,0.27597,5657.141,6692.57178
0.29649,-1.01395,0.99108,-0.0,1.0,1.0482,1.04791,-0.0068,0.11072,142.88074,122.25825
0.6063,-0.89554,0.99198,0.0,1.0,1.0469,1.04591,-0.00652,0.15369,787.30505,536.73041
0.7909,0.06099,0.98998,-0.0,1.0,1.0433,1.04053,-0.00563,0.19541,1458.902,1197.71411
0.46805,-2.43979,0.99168,0.0,1.0,1.0404,1.04016,-0.01081,-0.00703,1032.0435,770.71027
0.78083,-2.06332,0.99019,0.0,1.0,1.0397,1.03869,-0.00537,0.05309,1405.4407,1370.52942
0.18742,-4.42962,0.98988,-0.0,1.0,1.0362,1.03434,-0.01097,-0.11045,3480.9993,2838.64453
0.12874,-2.06371,0.99198,-0.0,1.0,1.0331,1.03343,-0.00557,-0.14043,2356.0425,1709.26111
0.64159,-1.60619,0.99068,-0.0,1.0,1.0321,1.03105,-0.0093,-0.10292,1405.5742,1442.66638
0.46556,-1.60841,0.99188,0.0,1.0,1.0305,1.03048,-0.0103,-0.14115,995.6652,591.66943
0.03905,-4.44618,0.98908,-0.0,1.0,1.0293,1.02904,-0.01144,-0.10882,5805.8,4417.78613
0.84411,0.04517,0.99208,-0.0,1.0,1.0291,1.02835,-0.00559,-0.01769,2088.3782,1832.84338
0.56567,-1.32235,0.99158,0.0,1.0,1.0271,1.02511,-0.00764,0.08783,376.96753,321.92599
0.08483,-3.00348,0.98966,0.0,1.0,1.0221,1.0197,-0.00342,-0.02936,4034.002,3367.09619
0.82492,-0.31027,0.98928,0.0,1.0,1.0186,1.01712,-0.00952,-4e-05,1622.3688,1460.3468
0.5521,-0.51898,0.99038,-0.0,1.0,1.0163,1.01488,-0.00599,0.26627,368.9475,306.79556
0.32768,-1.87656,0.99194,-0.0,1.0,1.0174,1.01847,-0.00926,-0.127,1743.6052,1502.26318
-0.44282,-3.06308,0.99148,-0.0,1.0,1.0155,1.01288,-0.02064,0.02822,8772.275,8530.80176
0.84068,0.09725,0.99138,0.0,1.0,1.0118,1.01014,-0.0084,0.10834,1768.0627,1512.33704
0.27694,-1.49732,0.98669,-0.0,1.0,1.0083,1.00729,-0.0135,-0.13031,718.3819,622.5271
0.48344,-1.86182,0.98778,-0.0,1.0,1.0062,1.00456,-0.006,0.07396,1224.5225,1170.42444
0.42084,-1.37967,0.98843,0.0,1.0,1.0011,0.99847,-0.01764,0.0453,626.9739,685.41528
0.57854,-1.7868,0.99188,-0.0,1.0,0.9992,0.99965,-0.00357,-0.10351,1007.86145,974.76123
0.41409,-1.34059,0.99188,0.0,1.0,1.0001,0.99992,-0.01094,-0.07285,740.6556,585.04291
0.7126,-0.24958,0.98978,-0.0,1.0,1.0,0.99977,-0.00856,0.06659,772.52026,772.04498
0.19397,-2.80238,0.98528,-0.0,1.0,0.9975,0.99455,-0.00874,0.20873,2117.3286,2903.42871
0.45469,-2.076,0.99168,0.0,1.0,0.9945,0.99363,-0.00344,-0.15348,1399.8416,1357.88562
-0.05384,-4.16135,0.99098,-0.0,1.0,0.9953,0.99547,-0.01199,0.22519,5478.5625,7614.86133
0.30799,-1.2323,0.98345,0.0,1.0,0.9942,0.99232,-0.00542,0.32875,415.12305,322.4295
0.34199,-2.46871,0.99158,0.0,1.0,0.9908,0.99021,-0.01504,-0.00617,1159.3959,1043.70764
0.53011,-0.84045,0.98853,-0.0,1.0,0.9879,0.98618,-0.00923,-0.08584,474.96143,431.86005
0.62099,-0.53253,0.99118,-0.0,1.0,0.986,0.98498,-0.00227,-0.12551,515.8909,408.65781
-0.23747,-3.85642,0.99128,0.0,1.0,0.9838,0.98376,-0.014,-0.06068,7186.1353,6544.48291
0.36715,-1.5308,0.98849,-0.0,1.0,0.9809,0.97854,-0.01511,-0.1438,843.8005,721.27588
0.37067,-1.86787,0.98828,0.0,1.0,0.9777,0.97763,-0.00907,0.03984,859.71155,1075.82202
-0.91697,-3.1765,0.98628,-0.0,1.0,0.9777,0.97813,-0.0189,-0.10285,12059.995,10664.01953
-0.22311,-5.30087,0.99168,-0.0,1.0,0.9759,0.97387,-0.01509,-0.0229,4354.84,4336.28516
0.17692,-1.89134,0.99038,-0.0,1.0,0.9757,0.9774,-0.00628,-0.02684,1240.1677,1031.14307
0.49708,-2.03588,0.99218,0.0,1.0,0.9739,0.97081,-0.00427,-0.02257,930.58685,769.01099
0.54854,-0.79921,0.98556,-0.0,1.0,0.9686,0.96695,-0.00295,-0.14399,471.8747,500.18958
0.09123,-2.27182,0.99018,-0.0,1.0,0.9679,0.96923,-0.00757,0.18377,1876.1602,2182.36475
0.20715,-2.02818,0.9889,0.0,1.0,0.9667,0.96434,-0.00286,-0.10135,698.438,625.17767
0.68386,-0.89997,0.99038,0.0,1.0,0.9637,0.96189,-0.00707,-0.04401,1395.8805,1220.50854
-0.16216,-2.76599,0.98888,0.0,1.0,0.9595,0.95714,-0.01394,-0.24814,2186.1362,1444.05164
0.67095,-3.38941,0.99172,0.0,1.0,0.9573,0.95695,-0.0115,-0.01461,1489.5778,1339.91333
0.43487,-1.42485,0.98838,-0.0,1.0,0.9576,0.95746,-0.00658,-0.00475,871.09766,820.46466
-0.03583,-2.45488,0.98785,0.0,1.0,0.9555,0.95337,-0.00951,-0.16528,2252.7378,1814.96973
0.44465,-1.50668,0.98978,0.0,1.0,0.9502,0.94751,-0.00916,-0.16861,975.1813,1001.54187
0.14756,-3.07259,0.99099,-0.0,1.0,0.9437,0.94025,-0.00676,-0.02827,1396.6572,1367.84351
0.73272,-0.54172,0.99168,0.0,1.0,0.9401,0.94048,-0.00654,0.00588,1426.7561,1193.53235
0.08231,-3.65438,0.99218,0.0,1.0,0.9412,0.94199,-0.00659,0.00015,2716.1855,2544.62671
0.34901,-1.92306,0.9894,-0.0,1.0,0.9378,0.93384,-0.00862,0.17873,642.75037,711.64502
0.17456,-1.57466,0.98848,-0.0,1.0,0.9325,0.93183,-0.00771,-0.11145,619.6586,559.11066
0.74354,-0.62799,0.99058,0.0,1.0,0.9315,0.93178,-0.00833,-0.08801,1478.1576,1429.01282
0.42114,-1.26258,0.98773,0.0,1.0,0.9309,0.92934,-0.00636,-0.10889,248.8702,238.32739
0.56239,-1.92663,0.99178,0.0,1.0,0.9268,0.92434,-0.00906,0.01827,499.1512,535.62927
0.77544,0.15332,0.98688,0.0,1.0,0.9228,0.92237,-0.00469,0.07587,961.8981,867.24243
0.19145,-3.35427,0.99018,0.0,1.0,0.9251,0.92816,-0.00459,-0.00588,2224.7095,2079.23169
-0.31696,-3.44122,0.99058,-0.0,1.0,0.9281,0.92936,-0.02088,-0.18236,8459.201,6887.15332
0.11437,-4.01736,0.98706,-0.0,1.0,0.9273,0.92419,-0.00894,0.06408,3058.6858,3314.69336
